ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
9350,Alabama,10-16-2020,171157,2786,74238.0,93350.0,3474.7618129848200,1241182.0,,1.6352260321410500,25313.790933852200,
9351,Alaska,10-16-2020,10549,66,6237.0,4246.0,1442.0165540055600,522664.0,,0.6256517205422320,71446.59590319120,
9352,Arizona,10-16-2020,229486,5806,37994.0,185686.0,3152.835863793030,1609380.0,,2.5300018301770000,22110.764850453700,
9353,Arkansas,10-16-2020,97539,1665,87256.0,8618.0,3232.118454346270,1197898.0,,1.7070095038907500,39694.360535011600,
9354,California,10-16-2020,871253,16910,,854343.0,2205.0214689262100,16621956.0,,1.940882843445020,42067.88365210430,
9355,Colorado,10-16-2020,83230,2172,7034.0,74001.0,1444.8830437790500,1625527.0,,2.6103573016693300,28227.149152175100,
9356,Connecticut,10-16-2020,62830,4542,9651.0,48637.0,1762.2704707923900,1967633.0,,7.229030717809960,55188.62857323970,
9357,Delaware,10-16-2020,22724,662,11818.0,10244.0,2333.6249851093300,321142.0,,2.91321950360852,32979.448819221100,
9358,Florida,10-16-2020,748437,15830,,732607.0,3484.7107029944500,5673685.0,,2.1150744818869200,26416.586626421600,
9359,Georgia,10-16-2020,337850,7556,,330294.0,3182.0339078512700,3254270.0,,2.236495486162500,30650.281146376100,
9360,Hawaii,10-16-2020,13853,185,10915.0,2753.0,978.407652669168,466030.0,,1.3354508048798100,32914.69850381960,
9361,Idaho,10-16-2020,51704,523,25214.0,25967.0,2893.235556624970,345585.0,,1.01152715457218,19338.13263647380,
9362,Illinois,10-16-2020,339757,9425,,330332.0,2681.201068102210,6622355.0,,2.774041447269670,52260.48410879540,
9363,Indiana,10-16-2020,143495,3887,106319.0,33289.0,2131.4666085580400,2451285.0,,2.708805184849650,36411.248653675700,
9364,Iowa,10-16-2020,105746,1524,80560.0,23662.0,3351.6213586386400,822775.0,,1.441189264842170,26077.8683198788,
9365,Kansas,10-16-2020,72531,859,2379.0,66314.0,2387.3156137649400,589189.0,,1.2322070452911600,20224.01292823230,
9366,Kentucky,10-16-2020,85506,1300,17018.0,67188.0,1913.8822380241300,1653847.0,,1.5203611442471900,37018.08525377750,
9367,Louisiana,10-16-2020,174638,5727,161792.0,7119.0,3756.6302142017900,2565652.0,,3.279355008646460,55189.62552438330,
9368,Maine,10-16-2020,5863,145,5099.0,619.0,436.1663190032530,533641.0,,2.473136619478080,39699.16947624330,
9369,Maryland,10-16-2020,134329,4032,7869.0,122428.0,2221.9005967897700,3013107.0,,3.00158565909074,49839.00901139330,
9370,Massachusetts,10-16-2020,142346,9702,118892.0,13752.0,2065.2294239117500,5012963.0,,6.815786885476230,72730.66112557370,
9371,Michigan,10-16-2020,159119,7317,104271.0,47531.0,1593.2840532311600,4225410.0,,4.598445188820950,42309.70764876280,
9372,Minnesota,10-16-2020,119396,2265,105120.0,12011.0,2117.088490880260,2430551.0,,1.8970484773359200,43097.68793424820,
9373,Mississippi,10-16-2020,109255,3160,94165.0,11930.0,3671.0191593230000,838799.0,,2.8923161411377000,28184.03917276990,
9374,Missouri,10-16-2020,154923,2477,,152446.0,2524.233278174510,2222854.0,,1.598858787914000,36218.005327313000,
9375,Montana,10-16-2020,21595,235,13212.0,8148.0,2020.531859750110,425462.0,,1.0882148645519800,39808.26701148420,
9376,Nebraska,10-16-2020,56714,547,37653.0,18514.0,2931.853052716900,529266.0,,0.9644884860880910,27360.618856001400,
